"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
-13.5898,-4.8716,-0.76904,8.4614,-8.9741,8.9746,0.76953,7.9487,-0.25635,5.8975,-4.3589,0.25635,5.3848,-0.25635,
-14.6152,-7.436,1.2822,0.25635,-7.436,6.4102,4.8716,5.3848,-1.7949,1.2822,-0.76904,-0.25635,2.3076,-1.7949,
-11.7949,-7.1797,2.564,0,-10.2563,5.6411,4.1025,14.8716,-1.0259,-0.5127,0,-1.0259,6.6665,0.5127,
-11.2822,-4.6152,-1.0254,8.2051,-8.2051,7.6924,-0.5127,17.436,-3.5898,0.5127,-3.5898,0.5127,8.2051,1.5386,
-12.051,-4.8718,-1.282,13.5901,-4.3586,10.5129,1.282,11.5383,-5.3845,0.76929,-5.8972,0.76929,2.8206,-0.76929,
-10.7693,-3.5896,3.0769,16.4104,-8.2053,9.2307,3.0769,10.2561,-3.5896,2.051,-4.1028,-0.51294,0.51294,-1.5383,
-14.6152,-4.8716,2.3076,8.4614,-17.1797,0.76904,0.25635,8.9741,-2.3076,2.3076,-0.25635,-2.3076,1.7949,-2.3076,
-16.4106,-5.1284,1.0254,2.564,-12.3081,-1.0259,2.564,8.7178,-1.5386,1.5381,-1.0259,0,4.1025,0,
-17.4355,-5.6406,0,8.7183,-8.7178,2.5645,3.5898,7.6924,-3.0767,-1.5381,-7.1792,0.51318,4.1025,0,
-16.1538,-7.436,0.25635,12.0513,-10,1.7949,3.3335,9.4873,-1.2822,0.76904,-6.9229,-0.25635,1.7949,-2.8203,
-12.8203,-3.0767,1.5386,6.6665,-4.6152,4.1025,3.5898,11.2822,-1.5386,2.564,-2.564,1.5386,-4.6152,-2.564,
-12.5642,-3.8459,-0.25659,5.3845,-0.76929,7.4358,4.3591,8.4617,-2.8206,0.25659,-1.282,2.3079,-4.8718,3.3333,
-11.2822,-10.769,0,5.6411,-2.564,4.6152,2.564,6.6665,-3.0771,0.5127,-2.0513,0,-3.0771,3.5898,
-3.0769,-3.0769,3.0769,7.1794,-2.5642,7.1794,0.51294,13.3333,-2.5642,4.6155,-2.0515,-0.51294,-8.718,2.051,
-6.1538,1.5386,5.1284,8.7178,-2.564,8.2051,1.0259,12.3076,-2.0513,0,-2.0513,-2.0513,-11.2822,0,
-10.5129,-2.3079,11.5383,16.1541,-0.25659,7.4358,4.8718,11.5383,-0.25659,-1.282,-1.282,0.25659,-3.8459,1.7947,
-12.8206,-6.6667,9.2307,12.8206,-8.2053,1.5383,1.5383,8.718,-0.51294,1.0256,-4.1023,-0.51294,-5.1282,0.51294,
-18.7183,-6.4106,1.2817,3.8462,-17.1797,-4.8721,-0.25635,1.7949,2.8203,3.8462,-2.3076,1.2817,-5.3848,0.25635,
-19.231,-2.3076,0.25635,5.8975,-11.5386,-1.7949,-1.2822,4.8716,2.8203,3.3335,-0.25635,3.3335,-2.8208,2.8203,
-7.436,2.3076,8.9741,13.5894,-3.3335,3.8462,2.3076,11.0254,-0.25635,0.25635,-2.8208,-0.25635,-4.8721,-1.2822,
-0.76929,2.3074,9.9998,16.6667,-6.9231,2.8206,2.3074,3.3333,-4.3591,0.76929,-7.949,-5.8977,-13.5901,-5.8977,
-5.6411,-2.0513,4.1025,15.8975,-7.1792,2.564,0.5127,3.0771,-1.0254,4.6152,-8.7178,1.5386,-12.8203,-0.5127,
-11.2822,-7.6924,-2.564,7.6924,-6.1538,1.0259,0,6.6665,0,5.1284,-4.1025,7.1797,-8.7178,0.5127,
-7.4358,-8.4617,-2.3079,5.3845,-5.8972,0.25659,0.25659,5.3845,-1.7947,4.8718,2.3079,2.8206,-9.4871,-0.25659,
-1.7947,-7.4358,-0.25659,5.3845,-4.8718,1.7947,-0.25659,6.4104,3.8459,4.3591,4.3591,0.25659,-9.4871,-0.25659,
-1.5386,-1.0259,-0.5127,2.0513,-1.0259,3.5898,-1.5386,9.2305,2.564,4.6152,0,2.0513,-5.6411,0,
-3.0769,1.0256,-0.51294,3.5896,-0.51294,3.0769,-1.0256,6.6667,-5.6409,5.1282,-4.6155,3.5896,-7.1794,0.51294,
-7.6921,-9.2307,-0.51294,6.6667,-8.2053,3.5896,1.5383,3.5896,-3.0769,7.6921,-4.1028,3.0769,-9.7439,0.51294,
-15.1284,-11.5386,-1.7949,6.4102,-11.0259,3.8462,-0.25635,7.4355,0.25635,5.3843,-0.25635,6.9229,-7.436,0.76904,
-17.9487,-5.6406,-7.6924,8.2051,-4.6152,0,0,9.7437,0,3.5898,3.5898,7.1797,-5.6406,1.5386,
-10.5129,-2.3079,-8.9744,9.9998,0.25659,1.7947,1.282,8.9744,-1.7947,1.282,-0.25659,-0.25659,-6.9231,0.76929,
-1.0256,-2.0515,1.0256,9.2307,-1.5388,3.5896,4.615,11.7947,-2.5642,-1.0256,-1.5388,6.1536,-4.6155,3.0769,
