"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
-68.9744,-33.5896,27.436,44.8721,-102.8206,-74.1025,0.76929,-0.76929,6.9231,2.3079,15.1282,52.564,-28.4614,-27.4358,
-70.2562,-31.7948,29.7438,45.641,-98.4615,-80.5128,2.5641,0.51282,9.2308,-0.51282,18.4615,59.9999,-29.2306,-31.7948,
-64.8717,-28.4615,30.5128,52.5641,-91.0258,-68.4615,4.8717,2.8204,14.1027,-2.8204,21.7948,63.3331,-31.0258,-27.4359,
-68.2053,-34.8718,34.8716,54.3589,-100,-65.1284,8.7178,1.0256,11.7947,-1.0256,23.5896,64.6155,-37.9487,-26.1541,
-66.6666,-26.6666,28.2052,54.8717,-90.7692,-53.8461,6.6666,0.51282,3.5897,-0.51282,16.923,62.0514,-38.4615,-22.5641,
-58.2052,-14.6154,28.9742,52.5641,-75.7692,-40.2565,9.4872,2.3077,4.359,-2.3077,15.641,56.1539,-33.077,-13.077,
-52.3075,-12.3075,32.8207,52.3077,-63.0768,-37.4357,12.8207,0.51282,8.2052,-0.51282,17.4359,58.4615,-23.0768,-7.1793,
-56.6666,-18.2052,27.9486,54.1024,-67.4359,-40.2565,11.0255,-2.3077,6.4103,2.3077,18.205,59.7435,-19.2308,-10.5128,
-57.9486,-18.9745,27.1796,52.3075,-65.641,-39.4872,12.3077,-0.51282,8.7179,0.51282,22.5641,53.8461,-22.5641,-12.3077,
-47.6921,-9.2307,28.2053,49.231,-50.769,-31.282,14.8718,-1.0256,13.8462,1.0256,21.5386,49.231,-17.4358,-6.1538,
-57.4358,-21.0256,36.9231,45.6411,-65.769,-44.6155,18.9744,-3.5898,20,3.5898,24.1025,55.8975,-17.9487,-10.2563,
-72.4358,-36.0256,43.8461,44.8717,-80.769,-59.6155,19.7435,-1.7948,22.3077,1.7948,27.4359,65.8973,-32.5641,-20.7692,
